1000000	0	0
1000100	18848	18848
1000200	76880	58032
1000300	167648	90768
1000400	305040	137392
1000500	471448	166408
1000600	672328	200880
1000700	930248	257920
1000800	1205528	275280
1000900	1529416	323888
1001000	1893728	364312
1001100	2279120	385392
1001200	2724776	445656
1001300	3196720	471944
1001400	3703136	506416
1001500	4258160	555024
1001600	4839224	581064
1001700	5467408	628184
1001800	6134032	666624
1001900	6831904	697872
1002000	7570200	738296
1002100	8338008	767808
1002200	9132600	794592
1002300	9955464	822864
1002400	10809824	854360
1002500	11700640	890816
1002600	12594432	893792
1002700	13486240	891808
1002800	14371848	885608
1002900	15172392	800544
1003000	15737832	565440
1003100	16330552	592720
1003200	16978576	648024
1003300	17646440	667864
1003400	18364152	717712
1003500	19118816	754664
1003600	19887368	768552
1003700	20688904	801536
1003800	21525160	836256
1003900	22105728	580568
1004000	22591560	485832
1004100	23113848	522288
1004200	23662672	548824
1004300	24271264	608592
1004400	24896720	625456
1004500	25569048	672328
1004600	26283784	714736
1004700	27019352	735568
1004800	27792120	772768
1004900	28581752	789632
1005000	29401144	819392
1005100	30260464	859320
1005200	31147312	886848
1005300	32040856	893544
1005400	32929936	889080
1005500	33816536	886600
1005600	34617328	800792
1005700	35165904	548576
1005800	35774992	609088
1005900	36416320	641328
1006000	37086664	670344
1006100	37804128	717464
1006200	38553832	749704
1006300	39339000	785168
1006400	40153928	814928
1006500	41001344	847416
1006600	41881000	879656
1006700	42775040	894040
1006800	43668584	893544
1006900	44147720	479136
1007000	44693568	545848
1007100	45260992	567424
1007200	45888432	627440
1007300	46537944	649512
1007400	47230360	692416
1007500	47966920	736560
1007600	48724808	757888
1007700	49523368	798560
1007800	50344248	820880
1007900	51191168	846920
1008000	52076280	885112
1008100	52970816	894536
1008200	53860640	889824
1008300	54748976	888336
1008400	55632600	883624
1008500	56181176	548576
1008600	56768440	587264
1008700	57405552	637112
1008800	58064488	658936
1008900	58772528	708040
1009000	59519752	747224
1009100	60289792	770040
1009200	61085872	796080
1009300	61915680	829808
1009400	62778720	863040
1009500	63672016	893296
1009600	64564816	892800
1009700	65454144	889328
1009800	65989576	535432
1009900	66546088	556512
