1000000	0	0
1000100	18848	18848
1000200	76880	58032
1000300	167648	90768
1000400	305040	137392
1000500	471448	166408
1000600	672328	200880
1000700	930248	257920
1000800	1205528	275280
1000900	1529912	324384
1001000	1893728	363816
1001100	2279120	385392
1001200	2732216	453096
1001300	3196720	464504
1001400	3708096	511376
1001500	4265104	557008
1001600	4839224	574120
1001700	5472120	632896
1001800	6140232	668112
1001900	6834384	694152
1002000	7571688	737304
1002100	8352640	780952
1002200	9165584	812944
1002300	10016968	851384
1002400	10893400	876432
1002500	11799096	905696
1002600	12735048	935952
1002700	13703488	968440
1002800	14698712	995224
1002900	15707824	1009112
1003000	16715200	1007376
1003100	17720096	1004896
1003200	18552632	832536
1003300	19167672	615040
1003400	19814208	646536
1003500	20516296	702088
1003600	21233016	716720
1003700	22005784	772768
1003800	22814760	808976
1003900	23648784	834024
1004000	24522736	873952
1004100	25415536	892800
1004200	26337600	922064
1004300	27291408	953808
1004400	28277456	986048
1004500	29282848	1005392
1004600	30290472	1007624
1004700	31295864	1005392
1004800	32298280	1002416
1004900	33245888	947608
1005000	33870600	624712
1005100	34541688	671088
1005200	35231128	689440
1005300	35977112	745984
1005400	36753104	775992
1005500	37563816	810712
1005600	38417184	853368
1005700	39305768	888584
1005800	40225848	920080
1005900	41173952	948104
1006000	42149336	975384
1006100	43146792	997456
1006200	44153920	1007128
1006300	45159064	1005144
1006400	46161728	1002664
1006500	47162408	1000680
1006600	47973120	810712
1006700	48599816	626696
1006800	49279088	679272
1006900	50003000	723912
1007000	50745760	742760
1007100	51543080	797320
1007200	52374624	831544
1007300	53237912	863288
1007400	54143608	905696
1007500	55073112	929504
1007600	55573576	500464
1007700	56106776	533200
1007800	56677176	570400
1007900	57267664	590488
1008000	57921392	653728
1008100	58594960	673568
1008200	59312176	717216
1008300	60069816	757640
1008400	60859200	789384
1008500	61693224	834024
1008600	62554032	860808
1008700	63446584	892552
1008800	64370384	923800
1008900	65320224	949840
1009000	66302304	982080
1009100	67305216	1002912
1009200	68312096	1006880
1009300	69316496	1004400
1009400	70318416	1001920
1009500	71318104	999688
1009600	71952488	634384
1009700	72606712	654224
1009800	73303840	697128
1009900	73809760	505920
